virus	Sample_id	Replicate	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Influenza_B_virus	6cacbc2710ed41a7	D	600	1.7893177119228119	1	0	10	0	3	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	D	600	4.209955931288785	4	0	17	2	6	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	D	600	6.171477079796265	5	0	16	3	9	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	D	600	2.3550949598246897	2	0	12	1	3	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	C	600	0.3188822982088858	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	C	600	0.5901582502323128	0	0	15	0	1	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	C	600	1.3552009456264775	1	0	9	0	2	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	C	600	1.6190902825637492	1	0	10	0	2	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	C	600	6.52567676949366	6	0	21	3	9	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	C	600	2.9193548387096775	2	0	10	1	5	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	C	600	1.8818480642804967	1	0	10	0	3	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	B	600	0.4035822284252152	0	0	5	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	B	600	0.5294702338848746	0	0	20	0	1	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	B	600	1.0260703966377724	0	0	8	0	2	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	B	600	2.1048931771192283	2	0	13	0	3	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	B	600	4.058368558323591	4	0	18	2	6	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	B	600	4.443123938879457	5	0	9	3	6	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	B	600	1.9280496712929145	2	0	9	0	3	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	A	600	0.22758199581297975	0	0	5	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	A	600	0.46241614771870937	0	0	8	0	1	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	A	600	0.8911872865773575	0	0	6	0	2	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	A	600	1.3126809097174363	0	0	8	0	2	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	A	600	3.4104235992445364	3	0	15	1	5	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	A	600	4.66893039049236	5	0	11	3	7	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	A	600	3.279674945215486	3	0	13	1	5	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	B	6000	3.936758548499651	3	0	22	2	5	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	B	6000	6.396277444140857	6	0	55	3	9	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	B	6000	15.910165484633572	11	0	65	3	25	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	B	6000	24.546381805651276	23	0	80	15	31	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	B	6000	58.12609047576221	59	0	125	42	73	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	B	6000	52.44142614601019	57	2	75	48	62	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	B	6000	27.284240321402482	28	0	50	21	33	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	A	6000	2.8423761339846476	2	0	19	1	4	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	A	6000	5.597962117954904	5	0	78	2	7	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	A	6000	8.573089046493303	5	0	49	2	13	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	A	6000	13.69827705031013	12	0	55	7	19	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	A	6000	36.46159726594118	36	0	90	24	48	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	A	6000	49.292869269949065	50	0	70	43	59	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	A	6000	25.55834550766983	25	0	57	20	31	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	B	60000	42.21653291463131	37	0	189	25	52	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	B	60000	83.37494625594654	72	1	896	55	98	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	B	60000	178.7521670606777	131	0	762	60	255	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	B	60000	214.4035837353549	205	0	511	134	290	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	B	60000	534.7789369547621	538	0	1108	358	693	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	B	60000	552.8251273344652	577	18	726	534	619	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	B	60000	339.672753834916	344	0	561	300	387	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	A	60000	24.6800709467318	20	0	116	12	31	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	A	60000	48.49479665099421	42	0	696	31	59	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	A	60000	65.40241660099817	38	0	392	14	97	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	A	60000	112.02281185389387	106	0	308	75	145	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	A	60000	335.90871481248314	332	0	809	224	432	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	A	60000	382.2741935483871	399	11	513	350	440	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	A	60000	220.3372899926954	219	0	371	189	255	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	C	60	0.05194216921482008	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	C	60	0.19575781455214078	0	0	8	0	0	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	C	60	0.5328169588259275	0	0	6	0	1	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	C	60	0.4929692609548725	0	0	5	0	1	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	C	60	0.6358234295415959	0	0	2	0	1	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	C	60	0.2722790357925493	0	0	2	0	0	bowtie2	dedup_GM_TE
