virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Mammalian_orthoreovirus3	F	p6	100000	13362.768577041339	7536	0	118494	3938	17012	ngm	nodedup_TE
Zika_virus	F	p6	100000	34062.82058071585	32457	0	103030	27464	38729.5	ngm	nodedup_TE
Human_adenovirus_40	G	p2	100	1.2383403117003955	1	0	18	0	2	ngm	nodedup_TE
Human_betaherpesvirus	G	p2	100	3.361372704030919	2	0	36	1	5	ngm	nodedup_TE
Human_respiratory_syncytial_virus	G	p2	100	6.5310612030470185	5	0	45	2	8	ngm	nodedup_TE
Influenza_B_virus	G	p2	100	8.422467263955893	7	0	46	3	12	ngm	nodedup_TE
Mammalian_orthoreovirus3	G	p2	100	8.78126067646054	8	0	32	5	12	ngm	nodedup_TE
Zika_virus	G	p2	100	8.205624543462381	8	0	26	4	11	ngm	nodedup_TE
Human_adenovirus_40	H	p8	100	81.0617003954408	66	0	524	39	101	ngm	nodedup_TE
Human_betaherpesvirus	H	p8	100	206.80584180524545	161	0	2535	103	255	ngm	nodedup_TE
Human_respiratory_syncytial_virus	H	p8	100	480.27915681639087	336	0	1877	140	719	ngm	nodedup_TE
Influenza_B_virus	H	p8	100	555.8299793246038	447.5	0	2205	261	809	ngm	nodedup_TE
Mammalian_orthoreovirus3	H	p8	100	779.4899641270925	708	0	2657	474	995	ngm	nodedup_TE
Zika_virus	H	p8	100	579.0744156318481	562	0	1253	437	714	ngm	nodedup_TE
Human_adenovirus_40	I	p6	100	722.2291812049314	625	0	3389	437	858	ngm	nodedup_TE
Human_betaherpesvirus	I	p6	100	1778.8799323171663	1410	103	22746	1099	1985	ngm	nodedup_TE
Human_respiratory_syncytial_virus	I	p6	100	3497.2258339900186	2828.5	0	15075	1045.75	4989	ngm	nodedup_TE
Influenza_B_virus	I	p6	100	4541.184011026878	3860.5	0	15818	2679.25	6119	ngm	nodedup_TE
Mammalian_orthoreovirus3	I	p6	100	5594.896224803553	5670	0	20682	3485	7356.25	ngm	nodedup_TE
Zika_virus	I	p6	100	4373.075785244704	4287.5	0	7215	3736	5069.25	ngm	nodedup_TE
Human_adenovirus_40	J	p8	1000	30.043411258432194	25	0	151	17	37	ngm	nodedup_TE
Human_betaherpesvirus	J	p8	1000	73.10003097506737	58	2	936	43	82	ngm	nodedup_TE
Human_respiratory_syncytial_virus	J	p8	1000	140.22346992382452	121	0	632	45	214	ngm	nodedup_TE
Influenza_B_virus	J	p8	1000	177.20930392832528	155	0	619	102	240	ngm	nodedup_TE
Mammalian_orthoreovirus3	J	p8	1000	210.5248120942945	206	0	495	133	287	ngm	nodedup_TE
Zika_virus	J	p8	1000	181.13970051132213	183	0	318	153	213	ngm	nodedup_TE
Human_adenovirus_40	K	p8	100000	14806.327605257036	12727	0	72272	9117	17363.5	ngm	nodedup_TE
Human_betaherpesvirus	K	p8	100000	37199.04356388953	29497	1742	448043	23054	41466	ngm	nodedup_TE
Human_respiratory_syncytial_virus	K	p8	100000	57496.267599159444	48987	0	250291	20472.5	81857	ngm	nodedup_TE
Influenza_B_virus	K	p8	100000	74817.31206064783	64926.5	3	235386	46344.25	99807	ngm	nodedup_TE
Mammalian_orthoreovirus3	K	p8	100000	96429.84455073453	91648	0	231298	60508.75	128955.25	ngm	nodedup_TE
Zika_virus	K	p8	100000	77188.76743973703	76606.5	0	125445	66540	88441	ngm	nodedup_TE
Human_adenovirus_40	L	p2	100000	583.3302221446849	514	0	2170	365	700	ngm	nodedup_TE
Human_betaherpesvirus	L	p2	100000	1383.8916057567399	1081	30	14531	809	1578	ngm	nodedup_TE
Human_respiratory_syncytial_virus	L	p2	100000	3263.2611636459155	2685	0	12906	1277	4700.25	ngm	nodedup_TE
Influenza_B_virus	L	p2	100000	3909.111233631978	3295	0	12993	2206	5294.5	ngm	nodedup_TE
Mammalian_orthoreovirus3	L	p2	100000	4243.272890331397	3953	0	14050	2669	5616.25	ngm	nodedup_TE
Zika_virus	L	p2	100000	3119.6347699050402	3109	0	5821	2607	3630	ngm	nodedup_TE
Human_adenovirus_40	M	p2	1000	230.22615724587112	200	0	1285	136	274	ngm	nodedup_TE
Human_betaherpesvirus	M	p2	1000	555.8343434903815	443	12	7005	336	627	ngm	nodedup_TE
Human_respiratory_syncytial_virus	M	p2	1000	1139.7247832939322	832	0	4831	338	1737	ngm	nodedup_TE
Influenza_B_virus	M	p2	1000	1343.9847691247417	1151	0	4162	734	1854.75	ngm	nodedup_TE
Mammalian_orthoreovirus3	M	p2	1000	2255.2841646737274	2190	0	5644	1414	2937	ngm	nodedup_TE
Zika_virus	M	p2	1000	1517.3583820306794	1490.5	0	2697	1238	1832	ngm	nodedup_TE
Human_adenovirus_40	N	p2	100000	11406.768928820657	9964.5	0	50966	6885	13659.25	ngm	nodedup_TE
Human_betaherpesvirus	N	p2	100000	25937.880625788828	20434	1612	364070	15564	29315	ngm	nodedup_TE
Human_respiratory_syncytial_virus	N	p2	100000	51684.801155765694	42062	0	218530	17768.25	75018.5	ngm	nodedup_TE
Influenza_B_virus	N	p2	100000	65756.49510682288	55381	0	231121	37555.75	90586.5	ngm	nodedup_TE
Mammalian_orthoreovirus3	N	p2	100000	110353.77267680218	107729.5	0	292115	71762	142484.5	ngm	nodedup_TE
Zika_virus	N	p2	100000	67697.28104455807	66665.5	0	119902	56307.75	80025.75	ngm	nodedup_TE
Human_adenovirus_40	O	p8	100	5.052541288671784	4	0	46	2	6	ngm	nodedup_TE
Human_betaherpesvirus	O	p8	100	10.094492448093648	8	0	174	4	13	ngm	nodedup_TE
Human_respiratory_syncytial_virus	O	p8	100	20.44424743892829	16	0	107	7	31	ngm	nodedup_TE
Influenza_B_virus	O	p8	100	22.134390075809787	20	0	100	12	29	ngm	nodedup_TE
Mammalian_orthoreovirus3	O	p8	100	29.082294157840792	27	0	86	16	40	ngm	nodedup_TE
Zika_virus	O	p8	100	25.824233016800584	26	0	54	19	32	ngm	nodedup_TE
Human_adenovirus_40	P	p2	1000	792.1690509420796	654	0	3667	462	978	ngm	nodedup_TE
Human_betaherpesvirus	P	p2	1000	1875.6207079883309	1469	91	24969	1104	2146	ngm	nodedup_TE
Human_respiratory_syncytial_virus	P	p2	1000	4066.3836354084583	3382.5	0	17917	1372	5867.25	ngm	nodedup_TE
Influenza_B_virus	P	p2	1000	4890.956237077878	4282	0	17019	2811	6476	ngm	nodedup_TE
Mammalian_orthoreovirus3	P	p2	1000	7858.351810727708	7754	0	21834	5067	10117	ngm	nodedup_TE
Zika_virus	P	p2	1000	4896.329528853177	4923	0	9709	4033.75	5680.25	ngm	nodedup_TE
