virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
herpesvirus5	235646	4526	0	G	p2	100	bowtie2	nodedup_TE
orthopneumovirusA	15222	658	0	G	p2	100	bowtie2	nodedup_TE
orthoreovirus3	23570	1368	0	G	p2	100	bowtie2	nodedup_TE
B/Florida/4/2006	14261	53777	0	H	p8	100	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	43621	0	H	p8	100	bowtie2	nodedup_TE
adenovirusF	34214	19401	0	H	p8	100	bowtie2	nodedup_TE
herpesvirus5	235646	285332	0	H	p8	100	bowtie2	nodedup_TE
orthopneumovirusA	15222	48510	0	H	p8	100	bowtie2	nodedup_TE
orthoreovirus3	23570	122641	0	H	p8	100	bowtie2	nodedup_TE
B/Florida/4/2006	14261	432101	0	I	p6	100	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	327033	0	I	p6	100	bowtie2	nodedup_TE
adenovirusF	34214	172469	0	I	p6	100	bowtie2	nodedup_TE
herpesvirus5	235646	2427746	0	I	p6	100	bowtie2	nodedup_TE
orthopneumovirusA	15222	354022	0	I	p6	100	bowtie2	nodedup_TE
orthoreovirus3	23570	880515	0	I	p6	100	bowtie2	nodedup_TE
B/Florida/4/2006	14261	16872	0	J	p8	1000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	13570	0	J	p8	1000	bowtie2	nodedup_TE
adenovirusF	34214	7189	0	J	p8	1000	bowtie2	nodedup_TE
herpesvirus5	235646	99538	0	J	p8	1000	bowtie2	nodedup_TE
orthopneumovirusA	15222	14124	0	J	p8	1000	bowtie2	nodedup_TE
orthoreovirus3	23570	33121	0	J	p8	1000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	7082723	0	K	p8	100000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	5722604	0	K	p8	100000	bowtie2	nodedup_TE
adenovirusF	34214	3498423	0	K	p8	100000	bowtie2	nodedup_TE
herpesvirus5	235646	50365311	0	K	p8	100000	bowtie2	nodedup_TE
orthopneumovirusA	15222	5778390	0	K	p8	100000	bowtie2	nodedup_TE
orthoreovirus3	23570	14969138	0	K	p8	100000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	371730	0	L	p2	100000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	233188	0	L	p2	100000	bowtie2	nodedup_TE
adenovirusF	34214	139130	0	L	p2	100000	bowtie2	nodedup_TE
herpesvirus5	235646	1879455	0	L	p2	100000	bowtie2	nodedup_TE
orthopneumovirusA	15222	328402	0	L	p2	100000	bowtie2	nodedup_TE
orthoreovirus3	23570	664366	0	L	p2	100000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	129269	0	M	p2	1000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	114267	0	M	p2	1000	bowtie2	nodedup_TE
adenovirusF	34214	55233	0	M	p2	1000	bowtie2	nodedup_TE
herpesvirus5	235646	766236	0	M	p2	1000	bowtie2	nodedup_TE
orthopneumovirusA	15222	115465	0	M	p2	1000	bowtie2	nodedup_TE
orthoreovirus3	23570	357587	0	M	p2	1000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	6273416	0	N	p2	100000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	5061049	0	N	p2	100000	bowtie2	nodedup_TE
adenovirusF	34214	2718675	0	N	p2	100000	bowtie2	nodedup_TE
herpesvirus5	235646	35290720	0	N	p2	100000	bowtie2	nodedup_TE
orthopneumovirusA	15222	5227305	0	N	p2	100000	bowtie2	nodedup_TE
orthoreovirus3	23570	17370934	0	N	p2	100000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	2130	0	O	p8	100	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	1927	0	O	p8	100	bowtie2	nodedup_TE
adenovirusF	34214	1195	0	O	p8	100	bowtie2	nodedup_TE
herpesvirus5	235646	13632	0	O	p8	100	bowtie2	nodedup_TE
orthopneumovirusA	15222	2088	0	O	p8	100	bowtie2	nodedup_TE
orthoreovirus3	23570	4537	0	O	p8	100	bowtie2	nodedup_TE
B/Florida/4/2006	14261	469023	0	P	p2	1000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	368979	0	P	p2	1000	bowtie2	nodedup_TE
adenovirusF	34214	191079	0	P	p2	1000	bowtie2	nodedup_TE
herpesvirus5	235646	2585716	0	P	p2	1000	bowtie2	nodedup_TE
orthopneumovirusA	15222	413894	0	P	p2	1000	bowtie2	nodedup_TE
orthoreovirus3	23570	1247246	0	P	p2	1000	bowtie2	nodedup_TE
