virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_betaherpesvirus	216303	8633	0	O	p8	100	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	1276	0	O	p8	100	bowtie2	dedup_TE
Influenza_B_virus	14510	1324	0	O	p8	100	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	3566	0	O	p8	100	bowtie2	dedup_TE
Zika_virus	10952	1301	0	O	p8	100	bowtie2	dedup_TE
Human_adenovirus_40	34392	20804	0	P	p2	1000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	140488	0	P	p2	1000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	23123	0	P	p2	1000	bowtie2	dedup_TE
Influenza_B_virus	14510	25183	0	P	p2	1000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	112098	0	P	p2	1000	bowtie2	dedup_TE
Zika_virus	10952	21659	0	P	p2	1000	bowtie2	dedup_TE
